Year,Area in sq km,change in percentage
1988,21050,0
1989,17770,-16
1990,13730,-23
1991,11030,-20
1992,13786,25
1993,14896,8
1994,14896,0
1995,29059,95
1996,18161,-38
1997,13227,-27
1998,17383,31
1999,17259,-1
2000,18226,6
2001,18165,0
2002,21651,19
2003,25396,17
2004,27772,9
2005,19014,-32
2006,14285,-25
2007,11651,-18
2008,12911,11
2009,7464,-42
2010,7000,-6
2011,6418,-8
2012,4571,-29
2013,5891,29
2014,5012,-15
2015,6207,24
2016,7893,27
2017,6624,-16
2018,,
2019,,
2020,,
2021,,
2022,,
2023,,
2024,,
2025,,
2026,,
2027,,
2028,,
2029,,
2030,,
