"Country","GDP","Population","Medal2008","Medal2012","Medal2016"
"Algeria",188.68,37100000,2,1,2
"Argentina",445.99,40117096,6,4,4
"Armenia",10.25,3268500,6,3,4
"Australia",1371.76,22880619,46,35,29
"Azerbaijan",63.4,9111100,7,10,18
"Bahamas",7.79,353658,2,1,2
"Bahrain",21.9,1234571,1,1,2
"Belarus",55.14,9461400,19,12,9
"Belgium",511.53,10951266,2,3,6
"Brazil",2476.65,192376496,15,17,19
"Bulgaria",53.51,7364570,5,2,3
"Canada",1736.05,34771400,18,18,22
"China",7298.1,1347350000,100,88,70
"Colombia",331.65,46475000,2,8,8
"Croatia",63.85,4290612,5,6,10
"Cuba",60.81,11241161,24,14,11
"Czech Republic",215.22,10504203,6,10,10
"Denmark",332.68,5580516,7,9,15
"Dominican Republic",55.61,9378818,2,2,1
"Egypt",229.53,81927000,1,2,3
"Estonia",22.18,1318005,2,2,1
"Ethiopia",31.71,84320987,7,7,8
"Finland",266.07,5407040,4,3,1
"France",2773.03,65350000,40,34,42
"Georgia",14.37,4469200,6,7,7
"Germany",3570.56,81831000,41,44,42
"Great Britain",2431.59,62262000,47,65,67
"Greece",298.73,10787690,4,2,6
"Hungary",140.03,9962000,10,17,15
"India",1847.98,1241491960,3,6,2
"Indonesia",846.83,237641326,5,2,3
"Iran",86.53,76309000,2,12,8
"Ireland",217.28,4588252,3,5,2
"Italy",2194.75,60776531,28,28,28
"Jamaica",15.07,2705827,11,12,11
"Japan",5867.15,127650000,25,38,41
"Kazakhstan",186.2,16718000,13,13,17
"Kenya",33.62,38610097,14,11,13
"Lithuania",42.73,3192800,5,5,4
"Malaysia",278.67,28334135,1,2,5
"Mexico",1155.32,112336538,3,7,5
"Moldova",7,3559500,1,2,1
"Mongolia",8.56,2736800,4,5,2
"Morocco",100.22,32526800,2,1,1
"Netherlands",836.26,16731770,16,20,19
"New Zealand",130.68,4432620,9,13,18
"North Korea",22,24052231,6,6,7
"Norway",485.8,5005700,10,4,4
"Poland",514.5,38501000,10,10,11
"Portugal",237.52,10561614,2,1,1
"Romania",179.79,19042936,8,9,5
"Russian Federation",1857.77,143056383,72,81,56
"Serbia",45.04,7120666,3,4,8
"Singapore",239.7,5183700,1,2,1
"Slovakia",95.99,5445324,6,4,4
"Slovenia",49.54,2057540,5,4,4
"South Africa",408.24,50586757,1,6,10
"South Korea",1116.25,48580000,31,28,21
"Spain",1490.81,46196278,18,17,17
"Sweden",538.13,9490683,5,8,11
"Switzerland",635.65,7870100,6,4,7
"Taiwan",466,23234003,4,2,3
"Tajikistan",6.52,7616000,2,1,1
"Thailand",345.65,65479453,4,3,6
"Trinidad and Tobago",22.48,1317714,2,4,1
"Tunisia",45.86,10673800,1,3,3
"Turkey",773.09,74724269,8,5,8
"Ukraine",165.25,45644419,27,20,11
"United States",15094,313382000,110,104,121
"Uzbekistan",45.36,29123400,6,4,13
"Venezuela",316.48,27150095,1,1,3
